id,start (sec),end (sec),description,length
FL3CG,1.4,9.0,a person is smiling at a picture.,27.17
FYR3P,9.5,17.8,person takes a towel from the bed.,19.25
0W39H,0.2,9.8,a person is pouring liquids between 2 cups.,31.71
0W39H,0.2,9.8,a person is pouring fresh coffee into their glass.,31.71
6ZSB2,0.0,4.8,a person runs into a hallway.,19.75
6ZSB2,0.6,7.2,person open a bag.,19.75
MD6C0,0.0,6.3,a man opens a door.,40.71
TU3IG,6.4,11.9,a person eats food out of a box.,19.08
K3193,9.6,19.6,a person is sneezing by a sofa.,30.58
XPDI1,2.0,9.0,this person runs into the room with a cup.,29.25
XPDI1,2.0,9.0,person running through the doorway.,29.25
IV7IZ,1.9,8.9,one person runs into the basement holding a box.,22.67
IV7IZ,4.6,12.1,person opens the box.,22.67
IV7IZ,1.9,8.9,a person runs in holding a box with shoes inside.,22.67
AMX7S,21.0,24.0,a person is putting a pillow into a washing machine.,23.0
Q49E0,6.9,21.6,eating a snack as the person talks on the phone.,32.29
Q49E0,6.9,21.6,person at the same time they are also eating something.,32.29
Q49E0,24.8,33.0,person look out a window.,32.29
Q49E0,6.9,21.6,person eating something.,32.29
Q49E0,24.8,33.0,person look out the window.,32.29
HTCKH,11.7,18.2,person put it on a shelf.,18.12
DVHIB,20.0,27.6,person puts a sandwich.,29.92
DVHIB,11.6,19.2,person takes a book from a bag.,29.92
MUVB8,18.0,22.9,person gets up turn on a light.,24.46
MUVB8,18.0,22.9,person reaching to turn on the light on the table.,24.46
DN6QU,4.8,9.5,person puts it back on the shelf.,27.75
DN6QU,17.3,22.7,person tries to take a picture.,27.75
6B93R,12.8,21.9,a person is eating food from various dishes.,46.21
6B93R,38.0,46.4,person drinking a glass of water.,46.21
6B93R,12.8,21.9,person eating food.,46.21
6B93R,38.0,46.4,the person takes a drink from a glass.,46.21
A54DW,23.5,32.0,person sitting on a table.,31.25
V58VE,16.6,23.2,person they are smiling.,31.54
ABXKN,10.1,16.5,person they take the box.,32.25
ABXKN,10.1,16.5,person they take a box of tissues from the sink.,32.25
5JSFE,19.6,28.8,another person grabs doorknob to open door.,30.79
VNVRA,0.5,5.8,person opens a door takes a box out.,32.92
VNVRA,7.1,18.6,person closes the door.,32.92
VNVRA,4.8,9.6,person puts it on a table.,32.92
8PXPO,30.2,33.0,person opens cabinet.,32.5
8PXPO,8.3,16.5,the person puts some dishes away.,32.5
8PXPO,8.3,16.5,that same person starts putting dishes in a cabinet.,32.5
OC6YU,2.8,14.3,person pouring some into a glass.,36.62
OC6YU,9.6,18.5,person sits in a chair.,36.62
PZD7Z,0.0,4.9,a person is sitting in a chair holding a broom.,27.67
PZD7Z,9.5,17.6,person the put the broom down.,27.67
PZD7Z,9.5,17.6,the person puts down the broom.,27.67
KL68V,0.0,12.2,a person getting dressed puts on their shoes.,31.83
5N26T,29.1,37.0,a person opens up the door.,35.71
I4IFT,2.1,15.4,person putting on their shoes.,34.21
CC6JC,4.4,12.1,a person is smiling.,19.96
CC6JC,0.0,5.0,a person is sitting on a bed eating a sandwich.,19.96
CC6JC,0.0,4.3,a person is sitting on a bed eating some food.,19.96
15OH5,23.3,36.5,the person washes the mirror with a towel.,37.46
J8SHW,30.9,40.0,person begins to make a sandwich.,38.88
F1GWF,0.0,3.7,a person opens a cabinet.,12.79
F1GWF,5.3,10.1,person opens a laptop.,12.79
WWPEN,0.0,12.1,a person is playing a game on a smartphone.,29.33
WWPEN,0.0,12.1,person playing a game on a cell phone.,29.33
WWPEN,16.9,24.2,person opens the door.,29.33
WWPEN,0.0,12.1,a man laying in bed playing on a phone.,29.33
STG2D,0.0,5.5,a person opens a cabinet door.,14.67
6QW3Y,0.0,3.5,a person throws their bag down on the stairs.,25.04
6QW3Y,0.0,3.5,a person throws a bag downstairs.,25.04
MMY3N,3.1,11.2,another person puts a box into the garbage.,30.92
N1RJW,26.9,36.2,person closes the door to the room.,66.33
N1RJW,26.9,36.2,person closing the door.,66.33
C9ISQ,5.6,13.7,a person was closing the laundry detergent cabinet.,21.42
DC3PF,20.2,28.9,person another is sneezing at the groceries.,30.0
DC3PF,20.2,28.9,person begins sneezing.,30.0
ZSHWE,15.2,28.2,person stops at the bottom of the stairs to undress.,30.75
ZSHWE,15.2,28.2,person he undresses from a towel.,30.75
5HQJ8,19.4,31.0,person sneezing as they look up at a light.,30.04
417RA,15.9,31.0,person drink from a coffee cup.,30.29
417RA,0.0,11.4,a person awakens on a bed.,30.29
417RA,0.0,11.4,person is awakening.,30.29
JX18W,14.4,23.2,person opens a closet door.,29.96
JX18W,0.0,12.4,a person awakens.,29.96
JX18W,14.4,23.2,person open a closet door.,29.96
JX18W,8.0,16.3,person holding a blanket.,29.96
JX18W,8.0,16.3,a person stands holding a blanket.,29.96
WSLMS,12.4,23.3,a person takes off shoes in a hallway.,30.62
WSLMS,12.4,23.3,person takes off shoes.,30.62
WSLMS,16.4,24.9,the person puts down the glass.,30.62
2MDHE,25.0,31.2,person drinking out of a glass.,30.96
2MDHE,10.7,25.9,another person is sitting on the floor eating.,30.96
2MDHE,10.7,25.9,another person is eating food.,30.96
PRV4N,11.6,18.3,the person puts the glass on the desk.,44.67
PRV4N,2.7,8.7,person takes a glass off a table.,44.67
N7AOK,21.0,31.0,the person takes a pillow from the chair.,30.42
FE6RN,4.7,11.7,person holding a cup of coffee.,29.79
KFGXC,0.0,14.8,person holding a dish.,31.29
KFGXC,15.5,30.5,person fix their hair.,31.29
XNT6F,8.6,13.2,person throw it on the floor.,25.42
C8KER,27.8,43.3,person closes the cabinet.,45.04
C8KER,0.0,6.1,a person opens a cabinet door.,45.04
C8KER,0.0,6.1,person opens another cabinet.,45.04
JSD0F,15.7,22.1,person turns off a light.,28.67
JSD0F,3.2,14.9,a person is holding a bag of groceries.,28.67
JSD0F,15.7,22.1,person they turn off the light.,28.67
JSD0F,18.1,27.6,person begins sneezing.,28.67
HHAM7,18.4,23.0,the person opens the closet door.,30.5
HHAM7,8.4,16.3,a person is opening their closet.,30.5
HHAM7,18.4,23.0,person closes the closet door.,30.5
4WMDU,19.8,30.5,a person holding a glass drinking.,31.92
4WMDU,0.2,7.8,person drinking from a glass.,31.92
4WMDU,4.4,12.7,carrying a bag of food.the person opens the bag.,31.92
4WMDU,2.6,7.9,person puts glass on counter.,31.92
4WMDU,0.2,7.8,person drinks out of glass again.,31.92
WO0OM,19.3,32.0,person eats a sandwich.,31.46
WO0OM,19.3,32.0,person start eating the sandwich.,31.46
WO0OM,2.4,17.4,a person is laughing.,31.46
WO0OM,2.4,17.4,person laughing at their phone.,31.46
47532,17.4,23.6,person looking at a picture.,29.33
CRJGZ,17.6,25.9,person sits in a chair.,30.58
CRJGZ,7.0,13.5,person closes door.,30.58
CRJGZ,17.6,25.9,person sits in chair.,30.58
CRJGZ,10.1,18.2,person puts keys on a table.,30.58
CRJGZ,7.0,13.5,the person closes the door.,30.58
CRJGZ,0.4,10.3,person opens door to entryway.,30.58
SFWBN,4.5,10.1,person they sit down in a chair.,31.0
SFWBN,5.5,10.8,person put their phone back down on a table.,31.0
SFWBN,0.0,5.3,a person is dressing.,31.0
SFWBN,2.5,7.4,person takes their phone off of a table.,31.0
SFWBN,0.6,5.3,person throwing their clothes onto a blanket.,31.0
SFWBN,0.0,5.3,a person is dressing under the window.,31.0
6C65Z,1.2,8.0,person closes the refrigerator door.,19.0
6C65Z,1.2,8.0,a person is closing the refrigerator.,19.0
QQUI7,20.8,32.0,person #1 is watching a video on their laptop laughing.,30.58
QQUI7,0.0,13.2,person running in circles holding a box.,30.58
QQUI7,0.0,13.2,one person runs into the kitchen with a box laughing.,30.58
L4DUU,18.4,24.9,person eating a sandwich.,31.58
L4DUU,20.1,27.5,the person puts the camera down.,31.58
L4DUU,18.4,24.9,a person is eating a sandwich.,31.58
KGMA5,0.0,5.3,a person opens a cabinet.,20.75
RF39W,6.8,15.0,a person was putting food away on shelves.,27.83
QO7SM,16.3,25.9,person talking on the phone.,31.46
RXLKF,5.4,15.2,person opens book.,38.08
RXLKF,23.8,28.7,person closes book.,38.08
RXLKF,27.0,37.3,person holding a cup of coffee.,38.08
RXLKF,25.5,30.2,person she puts down the book.,38.08
RXLKF,25.5,30.2,person they put the book down.,38.08
LTQS9,17.1,27.0,a person is sitting on a chair.,31.96
8N939,23.8,31.0,person runs down the hallway.,30.17
8N939,0.4,7.6,the person drinks from the glass.,30.17
8N939,0.4,7.6,person takes another drink from the glass.,30.17
8N939,23.8,31.0,person run out of the room.,30.17
2JYRQ,15.4,23.8,person washes the window.,28.04
FZ0LU,2.5,10.2,person walk out the doorway with it.,29.71
DFG9M,0.0,11.5,a person is snuggling under a blanket in the bed.,29.88
5N7DP,0.0,11.6,a person is throwing shoes down the stairs.,33.0
5N7DP,24.1,34.0,person starts talking on the phone.,33.0
5N7DP,0.0,11.6,person throws his shoes off their feet.,33.0
MJ1T7,24.5,31.0,person walks to another room holding a bag.,30.46
H5V2Y,3.3,13.7,the person was eating a sandwich.,30.46
H5V2Y,3.3,13.7,a person is eating a sandwich.,30.46
H5V2Y,3.5,13.9,person drinking a cup of coffee.,30.46
H5V2Y,3.5,13.9,person drinking from a cup that are on a table.,30.46
OCVY4,3.9,10.0,person puts pan of food on the stove.,34.62
OCVY4,3.9,10.0,person put food in it on a stove.,34.62
IBX56,0.9,11.5,a person eats a sandwich.,30.42
IBX56,0.9,11.5,person eating a sandwich.,30.42
IBX56,0.9,11.5,a person in the recreation room is eating a sandwich.,30.42
86X97,1.8,11.2,watching out the window as the person does so.,39.96
M1GW9,13.5,23.5,person throwing the pillow onto the bed.,32.0
M1GW9,13.5,23.5,person throws the pillow on the bed.,32.0
M1GW9,3.8,9.9,person opening the door.,32.0
DFVXX,20.0,31.0,person takes a towel with them.,29.88
P4UXI,20.0,31.9,person pours a cup of coffee.,60.29
XWVDK,7.2,12.4,a person throws a bag of groceries onto the sofa.,17.42
XWVDK,7.2,12.4,person they throw the bag on a couch.,17.42
SNK5Z,2.3,8.7,person fixing a hinge on a door.,31.0
SNK5Z,15.1,20.9,person eat it.,31.0
SNK5Z,2.3,8.7,a person is fixing the door to their pantry.,31.0
SNK5Z,15.1,20.9,person was eating food.,31.0
4Y1AW,29.3,35.0,person take a picture of themself with a camera.,34.21
N513D,10.9,21.0,person two is holding a book.,30.38
N513D,5.9,18.4,another person looks at a book.,30.38
N513D,3.5,13.9,a person is putting a book in a hall cabinet.,30.38
N513D,3.5,13.9,person puts the book into a storage table.,30.38
IA7X9,7.7,19.5,person puts on shoes.,25.25
IA7X9,7.7,19.5,person putting shoes on.,25.25
IA7X9,11.3,21.1,person opens the laptop.,25.25
IA7X9,11.3,21.1,a person is opening a laptop.,25.25
APH4V,14.0,19.1,person they are done they close their closet door.,30.83
APH4V,16.8,28.8,person open the nearby window.,30.83
APH4V,6.3,17.6,a person is seen putting clothes in their closet.,30.83
APH4V,18.7,32.0,person looks out a window.,30.83
APH4V,6.3,17.6,person puts the clothes in a closet.,30.83
APH4V,14.0,19.1,person closes the closet door.,30.83
D1O6N,19.2,29.5,a laughing person begins talking to a window.,30.96
D1O6N,19.2,29.5,person another is laughing under a blanket on the sofa.,30.96
D1O6N,19.2,29.3,one person walks to the window smiling.,30.96
08QQS,23.7,30.1,person opens a door.,29.96
08QQS,23.7,30.1,person opening the door.,29.96
X2QWR,23.4,30.1,person they stand up.,30.04
X2QWR,25.7,31.0,person leaving turn off the light.,30.04
MV0TX,21.2,26.1,person puts down the sandwich.,25.88
MV0TX,9.8,14.1,person eating a sandwich.,25.88
MV0TX,9.8,14.1,person starts to eat a sandwich.,25.88
G2VOP,0.0,4.7,a person stands in a doorway sneezing.,25.38
G2VOP,14.8,26.0,person put clothes onto a shelf.,25.38
OJGGZ,38.3,45.0,person they take off their shoes.,44.21
8ENLP,6.0,12.8,person puts towel on head.,31.21
8ENLP,11.1,21.4,person takes off shoes.,31.21
8ENLP,6.0,12.8,person puts a towel over their head.,31.21
E9FY2,1.4,7.2,person puts the sandwich back.,30.75
E9FY2,0.0,6.0,a person is eating a sandwich.,30.75
E9FY2,0.0,5.5,this person eats some bread.,30.75
E9FY2,25.6,30.3,person finally smiling.,30.75
E9FY2,0.0,6.0,person eats the sandwich.,30.75
E9FY2,0.0,3.5,the person takes a sandwich from the table.,30.75
1FPW9,3.0,12.4,a person awakens.,30.12
1FPW9,16.1,31.0,person sits back on the bed.,30.12
1FPW9,16.1,31.0,person sits on bed.,30.12
1FPW9,17.8,25.4,person drinks from a glass.,30.12
Y7MSY,15.0,20.2,person putting the pillow on the floor.,22.67
Y7MSY,15.0,20.2,person puts the pillow on the floor.,22.67
3D0WV,17.7,30.4,person laughing as he grabs the doorknob.,30.33
QDOXA,22.9,29.7,person starts sneezing.,29.5
QDOXA,7.8,15.6,a person is undressing in a garage.,29.5
MFOVZ,25.8,32.0,person walks through a doorway.,30.67
MFOVZ,0.0,4.9,a person is eating a sandwich.,30.67
MFOVZ,25.8,32.0,person walking out the doorway.,30.67
MFOVZ,0.0,4.9,person a persno is seen eating a sandwich.,30.67
E18UD,2.6,17.0,person pour beer onto a cup.,37.88
WFWTU,0.0,4.8,a person runs into the garage.,22.29
WFWTU,0.0,4.8,a person is running into a garage eating some food.,22.29
WFWTU,18.3,23.0,person close the door behind them.,22.29
WFWTU,18.3,23.0,person closing the door behind them.,22.29
WFWTU,0.0,4.8,the person runs out.,22.29
FIAJP,0.0,6.6,a person is in a hallway undressing by a door.,29.75
RPPCV,27.3,32.0,person walk through a doorway.,30.75
LV24Z,0.0,5.4,person after sneezing.,26.79
LV24Z,16.0,28.0,person takes a laptop from a shelf.,26.79
YFBA1,2.3,8.6,the person opens the book.,22.96
LDST7,5.2,11.1,person they take a box.,31.21
LDST7,0.0,4.8,a person is opening their medicine cabinet in their bathroom.,31.21
EGPAO,2.7,11.6,person holding a cup of coffee.,29.96
2FLXE,7.6,13.2,person closes the dryer door.,14.58
2FLXE,10.7,16.0,the person puts the pillow on the window sill.,14.58
ZOK5T,0.0,4.8,a person runs down a hallway.,10.62
ZOK5T,0.0,4.8,person runs out of the hallway.,10.62
ZOK5T,0.0,4.8,a person runs down the hallway.,10.62
OEUGC,33.8,37.0,person take a drink from a medicine bottle.,36.17
OEUGC,11.6,18.3,person puts the laptop down.,36.17
OEUGC,14.1,30.2,person dresses  in warmer clothing.,36.17
LQGMM,8.0,13.8,a person drinks something from a bottle.,57.33
LQGMM,39.3,55.4,the person is cooking.,57.33
LQGMM,39.3,55.4,person starts cooking on the stove.,57.33
LQGMM,39.3,55.4,person cooking on a stove.,57.33
F7OOB,26.0,33.0,person takes the picture down from the wall.,31.58
F7OOB,21.1,33.0,person looks a picture.,31.58
F7OOB,26.0,33.0,person takes a picture from a coatrack.,31.58
98GQH,0.0,7.4,person looking at a picture.,22.83
98GQH,0.0,8.1,a person is holding a picture.,22.83
ZSZS4,21.1,26.2,person sits on the sofa.,42.38
RNCN8,18.2,26.1,person opens a laptop.,29.38
RNCN8,13.2,19.3,the person takes their laptop from a shelf.,29.38
RNCN8,22.3,30.0,person lay down on the floor with it.,29.38
RNCN8,18.2,26.1,person they open up the laptop.,29.38
JSLW5,0.0,6.4,a person in their closet opens a wardrobe door.,18.12
JSLW5,5.5,14.3,person runs away.,18.12
8VDZ7,15.1,28.3,person sits on the floor near a drying machine.,33.21
70TVS,10.0,14.9,person takes off his shoes.,43.67
70TVS,16.4,26.7,a person is undressing in a home office.,43.67
70TVS,10.0,14.9,person takes off shoes.,43.67
70TVS,23.4,39.6,person watches television.,43.67
4I00F,0.0,13.3,a person in a closet takes out some food.,28.08
8J2K5,22.0,28.3,person they open a door.,35.54
8J2K5,30.2,36.0,person closing doors as they vacuum.,35.54
I6AZD,13.0,19.4,person takes off their shoes.,30.0
OO6BH,12.2,18.8,person put it on the table.,38.96
OO6BH,8.3,13.7,person they open the door.,38.96
6B328,18.7,29.3,person takes some medicine.,30.46
6B328,18.7,29.3,the person takes some medicine from the desk.,30.46
LBT7P,5.3,12.5,a person is throwing a pillow at a picture.,23.67
LBT7P,5.3,12.5,a person throws a pillow.,23.67
A2EY4,15.8,24.4,person snuggles in the blanket.,31.54
A2EY4,1.5,6.9,the person opens a refrigerator door.,31.54
C9FMC,27.8,37.3,person pouring soda into their cup.,37.71
C9FMC,21.4,29.4,a person is closing the kitchen door.,37.71
C9FMC,0.5,6.7,person opens the refrigerator.,37.71
C9FMC,21.4,29.4,person closes the door.,37.71
C9FMC,0.0,9.4,a person is putting groceries into a refrigerator.,37.71
C9FMC,0.0,9.4,person puts away groceries.,37.71
CG9ZL,3.5,10.2,a person walks through a doorway.,32.17
IUW9N,0.1,5.9,person closes the door behind them.,30.29
IUW9N,0.1,5.9,person closing the door behind them.,30.29
X28IF,8.4,14.6,person pours a cup of coffee.,25.88
X28IF,0.0,7.8,a person awakens in a chair in their home office.,25.88
X28IF,8.4,14.6,person they pour a cup of coffee.,25.88
8TRIW,4.1,14.1,a person takes some medicine with a glass of water.,32.71
XECIL,2.0,8.8,person eats sandwich.,32.92
XECIL,5.7,10.1,person puts food away.,32.92
XECIL,9.9,14.5,person open cabinet.,32.92
XECIL,12.0,16.7,person takes a bag of chips from the cabinet.,32.92
XECIL,2.0,8.8,a person is eating a sandwich in the pantry.,32.92
PCNB7,0.0,11.6,a person is fixing their hair under the light.,25.17
PCNB7,0.0,11.6,person fixing hair.,25.17
BU2R4,20.3,27.3,person puts it on the table.,30.5
96GIQ,6.4,18.1,person opens a bag.,30.33
96GIQ,0.0,6.4,the person throws a broom on the floor.,30.33
XTACZ,18.2,24.0,person turn off the light.,29.92
XTACZ,5.0,19.5,person starts undressing.,29.92
XTACZ,18.2,24.0,person turns off a light.,29.92
XTACZ,0.0,9.2,a person takes off shoes.,29.92
S0Z00,20.4,31.0,the person laughs.,30.29
S0Z00,4.4,9.1,one person puts down a phone.,30.29
S0Z00,20.4,31.0,person starts laughing.,30.29
CNVZX,2.9,12.8,this person awakens.,30.5
CNVZX,0.0,7.5,person turns on the light.,30.5
CNVZX,0.0,7.5,person turns on a light.,30.5
MYB7P,8.6,15.0,person eats a sandwich.,19.58
MYB7P,4.0,10.0,a person takes a picture with their phone.,19.58
HQZ29,20.1,26.3,person puts a dish into the sink.,31.5
3NOML,15.8,31.0,person starts undressing.,30.33
L0YQM,9.9,15.6,person laughing at the book.,30.75
L0YQM,0.0,8.8,person they take the book out again.,30.75
L0YQM,15.6,20.8,a person puts a book in a bag.,30.75
L0YQM,9.9,15.6,person start laughing.,30.75
9N76L,23.7,36.8,the person eats food from a container.,37.21
9N76L,23.7,36.8,person eat it.,37.21
H5TGJ,4.5,11.7,a person awakens in a bedroom.,35.92
H5TGJ,4.5,11.7,a person laying on a bed awakens.,35.92
IS3OX,29.4,37.0,person sits on the floor in the entryway.,39.25
ZI2XH,12.1,17.6,a person is putting a book on the shelf.,30.71
F31X6,20.1,25.7,the person eats something off a plate.,28.08
KNX2Y,13.0,21.0,person holding the glass.,20.0
KNX2Y,13.0,21.0,person they begin laughing holding food.,20.0
KNX2Y,0.0,3.4,a person holds a camera.,20.0
KNX2Y,13.0,21.0,person they laughed.,20.0
KNX2Y,11.3,16.8,person putting it on a table.,20.0
VEV4O,7.3,14.4,a person throws a pillow.,29.58
VEV4O,7.3,14.4,person throws a pillow onto a couch but misses.,29.58
QC4R2,12.1,18.6,person puts the picture on the floor.,33.08
QC4R2,16.6,29.8,person begin laughing at it.,33.08
QC4R2,16.6,29.8,person starts laughing.,33.08
D2GQH,0.0,3.7,a sneezing person is sitting in their garage.,30.71
D2GQH,15.2,21.5,the person eats a sandwich.,30.71
N7130,5.6,13.5,person they put their phone in their pocket.,30.88
N7130,0.0,5.6,a person opens a door.,30.88
N7130,5.6,13.5,person puts a phone in their pocket.,30.88
N7130,1.6,7.7,person walks through the doorway.,30.88
ZFZEN,23.9,40.5,person begins dressing.,44.12
ZFZEN,0.0,4.9,a person is awakening from their bed.,44.12
06CKN,17.6,26.0,person closes the door.,25.42
06CKN,7.2,14.6,a person opens a cabinet door.,25.42
06CKN,7.2,14.6,person opens the closet.,25.42
08F85,1.0,15.1,a person opens a cabinet.,29.83
08F85,14.4,23.2,person takes some medicine down from a shelf.,29.83
08F85,1.0,15.1,person opening the cabinet.,29.83
3K6HO,19.6,26.0,person close the door when exiting the doorway.,24.75
3K6HO,1.7,7.5,a person throws a blanket on a bed.,24.75
3K6HO,19.6,26.0,person closes a door.,24.75
X226B,0.0,9.5,a person is cooking in their kitchen.,30.67
X226B,21.0,27.2,person put a pillow behind their back.,30.67
X226B,0.0,9.5,a person is cooking on the stove.,30.67
X226B,20.7,29.6,person sit in a chair.,30.67
X226B,0.0,9.5,a person is cooking something on the stove.,30.67
X226B,20.7,29.6,person sits down in a chair adjusting the pillows.,30.67
3XKBC,18.8,28.1,person opens a laptop.,29.75
IME5D,15.7,25.4,the person puts the food on the shelf.,32.46
STAZI,18.8,37.0,person they start taking out pans to cook it.,36.33
XXIT4,2.9,19.3,person still eating.,32.83
XXIT4,2.9,18.9,person eating a sandwich.,32.83
XXIT4,0.0,6.1,a person is sitting in a chair at a desk.,32.83
XXIT4,0.0,6.1,a person is sitting in a chair.,32.83
5SAAB,12.5,22.8,person they take a towel open the  window.,30.75
5SAAB,24.2,32.0,person sitting down on the sofa.,30.75
5SAAB,4.8,11.5,person puts a foot on the coffee table.,30.75
5SAAB,24.2,32.0,person sits on the sofa.,30.75
5SAAB,27.2,32.0,person eats some.,30.75
5SAAB,27.2,32.0,person eating food.,30.75
RJ8WY,10.3,17.2,person takes a cup off of the washer/dryer.,23.58
RJ8WY,1.3,7.1,person turns on the light.,23.58
RJ8WY,1.3,7.1,person turns on a light.,23.58
YXP9P,0.0,6.4,a person pretends to start sneezing.,33.67
Z9W47,10.9,15.7,a person throws some items in a box the smiles.,23.04
Z9W47,0.0,5.9,a person opens a door.,23.04
Z9W47,10.9,15.7,the person throws some objects in the box.,23.04
Z9W47,0.0,5.9,a person opens a closet door with a light on.,23.04
Z9W47,10.9,15.7,person they throw something into a box.,23.04
F44A2,25.2,30.9,person take a picture of themself.,31.54
F44A2,25.2,30.9,person takes a picture.,31.54
I3Q65,5.3,11.0,person sit on the floor.,25.71
I3Q65,10.1,17.3,person begin to put boxes on a shelf.,25.71
I3Q65,10.1,17.3,person starts putting boxes on a shelf.,25.71
GXIWH,0.0,13.2,a person is smiling at the bag.,34.42
JZDL6,9.0,14.0,person sit on the bed.,30.46
YG2EP,0.0,3.3,a person walks threw the bathroom doorway holding a towel.,36.29
8BNBV,9.3,14.4,person a is walking through an entryway smiling.,33.08
8BNBV,14.9,20.2,person a walks through a doorway.,33.08
VPI6D,7.0,12.8,person takes pillows off of the bed.,30.42
VPI6D,0.0,4.9,a person opens a door by turning a doorknob.,30.42
VPI6D,0.0,4.9,person opens the door to their pantry.,30.42
6C4DV,8.3,15.6,the person takes a picture.,21.88
6C4DV,0.0,4.6,a person runs to the closet.,21.88
6C4DV,0.0,4.6,a person runs into a closet.,21.88
6C4DV,8.3,15.6,person takes a picture of it.,21.88
6C4DV,0.0,4.6,this person runs into the closet.,21.88
6C4DV,0.2,7.3,person puts a glass on the shelf.,21.88
XZ2QQ,8.9,13.6,person puts down the cell phone.,20.25
XZ2QQ,8.9,13.6,the person puts the phone down.,20.25
78N0Z,21.1,32.0,person begins eating.,30.54
78N0Z,21.1,32.0,person starts eating bag of chips.,30.54
J7D0D,0.0,4.2,a person opens a cabinet.,26.29
J7D0D,0.0,4.2,the person opened a cabinet.,26.29
KP88I,18.5,24.9,person takes a bite of a sandwich.,31.08
KP88I,16.8,28.3,person eats some food.,31.08
KP88I,16.8,28.3,person they start eating some food.,31.08
G1KTZ,16.9,31.6,person looked out of a window.,31.17
G1KTZ,16.9,31.6,person looks out the window.,31.17
WR1QE,6.5,12.6,a person opens a cabinet.,30.38
NGZQ9,0.3,6.2,a person drinks from a glass.,35.25
NGZQ9,0.3,6.2,person drinking a glass of water.,35.25
NGZQ9,0.3,6.2,a person is drinking a cup of water.,35.25
CV20O,0.0,3.1,one person runs into the bedroom eating something.,30.29
CV20O,0.0,3.1,a person is eating something.,30.29
RRHEV,26.0,31.8,person run out.,32.46
RRHEV,26.0,31.8,person runs out the kitchen.,32.46
2YO6G,0.0,5.0,a person is opening the refrigerator.,11.54
2YO6G,6.3,11.0,person they close the door.,11.54
2YO6G,0.0,5.0,a person opens a refrigerator.,11.54
VX1GX,8.0,17.1,person puts them on a table.,48.79
VX1GX,28.3,37.9,person opens a refrigerator.,48.79
17DOT,16.1,23.0,person walk through a doorway.,21.92
VRY89,26.3,32.0,person closing a door.,31.38
VRY89,26.3,32.0,person they close the door behind them.,31.38
VRY89,26.3,32.0,person closes a door.,31.38
E0U3R,17.0,22.5,person sits in a chair.,21.62
E0U3R,17.0,22.5,person sitting in a chair next to the door.,21.62
E0U3R,8.1,15.2,person puts the clothes on the bed.,21.62
E0U3R,5.6,13.1,person tidying up the bedroom by folding clothes.,21.62
T3L2A,3.5,10.8,a person is standing in the hallway holding a camera.,29.67
EX1PY,0.9,9.8,the person takes a box off the shelf.,33.88
7DGWM,2.2,8.2,person running up to a pillow.,31.04
7DGWM,17.1,30.3,person holds two pillows.,31.04
7DGWM,4.4,11.2,person sits on his bed on a pillow.,31.04
7DGWM,17.1,30.3,the person holds the pillows to their chest.,31.04
7DGWM,4.4,11.2,the person sits down on a bed.,31.04
6PL9Z,5.8,13.4,person takes a book.,19.67
6PL9Z,0.0,6.4,person is sitting on a sofa.,19.67
K2L7F,3.0,14.0,a person is sneezing.,31.08
RTEWJ,0.0,3.5,person runs to the closet.,15.21
RTEWJ,0.0,3.5,a person runs into the closet.,15.21
RTEWJ,2.2,9.8,the person takes a towel.,15.21
YSZVZ,0.5,7.9,person they take a drink from a cup.,28.88
YSZVZ,12.7,18.2,the person starts sneezing into a book.,28.88
YSZVZ,11.4,17.0,person open a book.,28.88
SQBEE,1.2,6.5,a person is eating with a blanket draped over them.,35.71
SQBEE,1.2,6.5,the person is eating food.,35.71
SG8ZR,2.2,19.7,person snuggles with a blanket.,49.83
SG8ZR,33.9,41.4,the person puts the beer cap into a bag.,49.83
55MRE,0.0,3.2,person throwing them on to floor.,21.04
55MRE,0.0,3.2,person throwing clothes on the floor.,21.04
55MRE,0.0,4.1,a person eats.,21.04
55MRE,0.0,4.1,person eating food.,21.04
YNJ86,16.5,30.6,person takes a drink from a cup of coffee.,30.75
YNJ86,14.3,19.1,the person closes the book.,30.75
51801,8.4,17.3,person they drink from a cup.,32.83
51801,8.4,17.3,person drinking from a glass.,32.83
51801,8.4,17.3,person takes a drink out of a glass.,32.83
A8LZE,1.1,7.5,person closes the door.,29.33
A8LZE,0.0,5.1,a smiling person opens the door.,29.33
A8LZE,1.1,7.5,person close the door.,29.33
Y7WEK,24.6,29.2,person closes the book.,29.33
XLR4B,2.3,13.8,a person is cooking in the kitchen.,30.33
XLR4B,21.4,31.0,person sit in a chair.,30.33
7NLXI,8.4,17.5,person starts sneezing.,25.92
FSKKQ,23.6,33.8,person fix their hair.,35.25
FSKKQ,6.8,19.1,a person awakens in their recreation room.,35.25
L1S6P,6.8,19.0,the person eats some of the snacks.,29.79
L1S6P,0.0,6.5,a person runs into the kitchen.,29.79
L1S6P,6.8,19.0,person eats it.,29.79
L1S6P,0.0,6.5,a person runs into the pantry.,29.79
L1S6P,6.4,14.4,person opens a bag of chips.,29.79
I0588,13.0,21.5,a person puts a box on the counter.,30.67
I0588,13.0,21.5,a person puts a box into the cabinet pantry.,30.67
I0588,13.0,21.6,person put it on a shelf in a cabinet.,30.67
BB8Q0,12.9,25.8,person eating a box of crackers.,28.67
3OQ81,0.0,6.9,person putting the bag on a shelf.,19.33
